Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1597.0090324416474
FDW14,OUT017,1382.0228225538744
NCN55,OUT010,722.5192589420302
FDQ58,OUT017,2445.8432451842846
FDY38,OUT027,5921.390934417329
FDH56,OUT046,1906.949908199585
FDL48,OUT018,656.8381708309288
FDC48,OUT027,2227.1488939285678
FDN33,OUT045,1537.3878946943441
FDA36,OUT017,3152.489667431821
FDT44,OUT017,1906.949908199585
FDQ56,OUT045,1382.0228225538744
NCC54,OUT019,722.5192589420302
FDU11,OUT049,2081.2367108418634
DRL59,OUT013,841.1744942259634
FDM24,OUT049,2436.98720489049
FDI57,OUT045,3143.6336271380264
DRC12,OUT018,2882.781692451829
NCM42,OUT027,2675.3322278100427
FDA46,OUT010,506.9310404602398
FDA31,OUT013,2893.8005924161653
NCJ31,OUT035,3936.71277275406
FDG52,OUT046,814.8452449501947
NCL19,OUT019,416.61456135666975
FDS10,OUT035,2913.295057982202
FDX22,OUT010,618.0794772940557
NCF19,OUT035,834.3397105162315
NCE06,OUT046,2602.6319538187277
DRC27,OUT046,3307.2957162730704
FDE21,OUT035,1935.3004140594167
NCR42,OUT019,56.85949929298972
FDX51,OUT018,2891.6377327456235
NCR06,OUT018,597.7804817308557
FDU31,OUT027,5413.785027688866
FDU59,OUT017,2701.523315809505
FDR03,OUT027,5472.338893573518
FDS49,OUT027,2218.292853634773
FDD48,OUT010,415.01386728707575
NCF18,OUT017,3143.6336271380264
NCD43,OUT027,2634.6855305962154
NCD54,OUT018,1875.1756000285732
FDY19,OUT010,415.01386728707575
NCY54,OUT017,2893.8005924161653
NCL19,OUT018,2242.6739651643866
FDP23,OUT010,568.3816517031971
FDC26,OUT013,1906.949908199585
FDR14,OUT010,165.83121690602687
NCS41,OUT035,3163.128092704063
FDF41,OUT035,3936.71277275406
FDU34,OUT046,2081.2367108418634
DRH11,OUT046,944.493544286529
FDM03,OUT013,1649.6859888075267
FDS31,OUT017,2893.8005924161653
FDJ20,OUT017,2019.703714182188
FDV44,OUT027,4948.766744589732
FDG02,OUT049,3152.489667431821
FDA09,OUT013,2902.65663270996
FDT04,OUT013,746.931515556327
FDL58,OUT019,733.9638701595627
FDE52,OUT045,1410.9881473995717
FDW12,OUT035,2456.4816704565264
FDL51,OUT017,3365.8653524599963
NCY42,OUT027,3220.6078300781974
FDR07,OUT017,1475.8548980346702
FDN40,OUT045,2436.98720489049
FDB35,OUT027,2483.782734537377
FDA22,OUT017,2782.1535198766796
NCL06,OUT046,3994.195784338481
FDI35,OUT013,2893.8005924161653
NCW42,OUT045,3491.7733359662016
NCX06,OUT049,2902.65663270996
FDC37,OUT027,2625.8294903024207
FDZ14,OUT018,1878.0674308219627
DRG49,OUT049,3939.3368412068594
NCG06,OUT045,3971.5906153757937
DRC36,OUT045,2893.8005924161653
FDV21,OUT019,403.2754726385747
FDB53,OUT046,2436.98720489049
DRP47,OUT019,711.3587011968756
FDA14,OUT013,2436.98720489049
DRC24,OUT035,2456.4816704565264
FDW21,OUT018,1500.534954982056
NCH29,OUT046,1537.3878946943441
FDU58,OUT013,3143.6336271380264
FDY27,OUT017,2893.8005924161653
FDV56,OUT035,1678.0364946673583
FDT59,OUT046,3831.9448212795082
FDB23,OUT046,3709.4861478794833
FDR49,OUT045,814.8452449501947
FDB03,OUT010,722.5192589420302
FDN39,OUT045,2710.3793561033
FDX02,OUT027,5752.38744055274
FDQ16,OUT027,2625.8294903024207
FDU35,OUT018,1491.6789146882613
NCT29,OUT013,2081.2367108418634
FDZ27,OUT046,823.7012852439893
FDN57,OUT017,2139.8778767081476
FDA03,OUT018,2233.817924870592
FDZ36,OUT045,3143.6336271380264
NCU05,OUT013,1344.6252587103143
FDT39,OUT018,2242.6739651643866
FDK60,OUT017,1537.3878946943441
FDZ25,OUT017,2799.206775268036
FDG12,OUT046,2090.092751135658
DRB01,OUT019,0.0
NCC43,OUT027,6029.150206258283
FDX13,OUT019,754.7730331109642
FDM22,OUT049,888.8411980786464
FDJ03,OUT027,1338.8320250585227
FDU14,OUT018,3592.262608813111
FDB33,OUT010,444.2168464806904
FDP27,OUT046,3143.6336271380264
FDO38,OUT010,345.30770067389824
FDE28,OUT027,5921.390934417329
FDO27,OUT035,1556.8823602603811
DRL23,OUT027,2634.6855305962154
FDS28,OUT046,944.493544286529
FDX24,OUT013,1435.3521525184296
FDZ02,OUT035,1556.8823602603811
FDL46,OUT045,1906.949908199585
FDS60,OUT027,4634.488179458764
NCO06,OUT017,734.2402486231003
FDO16,OUT035,1410.373328413706
